oiii_hbeta_ratio,hbeta_hgamma_ratio,oiii_hgamma_ratio,h_beta_eqw,h_beta_flux,z,e_bv_sfd
0.4147691,2.267872,0.9406432,-15.90424,1450.228,0.210923,0.04759682
0.8676329,1.787755,1.551115,-0.5103016,69.04453,0.07212282,0.02401691
1.454613,0.7948171,1.156152,-0.4046791,22.86394,0.0575438,0.02428407
0.4754554,2.312229,1.099362,-0.8075885,86.44918,0.05015523,0.04733186
0.2783858,2.077073,0.5782274,-20.19644,1958.264,0.1490557,0.04924946
0.7881184,2.576271,2.030407,-0.4868204,60.39161,0.05162126,0.01839022
1.070358,1.720245,1.841278,-6.451722,1343.096,0.1774282,0.03172235
0.4972242,1.955276,0.9722104,-11.29103,1421.419,0.09478367,0.03967275
3.028183,1.61394,4.887306,-9.267194,2174.339,0.1773402,0.015641
0.8745942,1.871628,1.636915,-0.5443212,43.97346,0.05120054,0.03028289
0.7621899,2.16548,1.650507,-21.58853,1887.681,0.060387,0.03116452
0.4513361,2.079299,0.9384628,-16.43305,1004.002,0.2306872,0.02773762
0.7795799,2.114187,1.648178,-17.07933,3329.567,0.1743191,0.04324507
