#Table1
sii_6717_flux,sii_6731_flux,nii_6584_flux,oi_6300_flux,oiii_5007_flux,h_alpha_flux,h_beta_flux,h_alpha_eqw,nii_6584_eqw,oiii_sigma,w1mpro,w2mpro,w3mpro,z,class,subclass,bestobjid
298.7753,215.7513,754.5494,44.20701,177.5252,1732.984,426.2533,-65.58481,-28.52843,114.1657,13.527,13.3,9.105,0.07459193,GALAXY,STARBURST,1237651799622615076
47.64561,31.38069,82.54055,13.05377,35.33691,135.0494,27.57534,-9.052675,-5.244104,140.6279,13.947,13.811,11.245,0.108012,GALAXY,STARFORMING,1237648720142991541
19.21101,14.66876,54.43324,6.875078,13.06574,146.121,29.37436,-14.27024,-5.187255,76.82516,14.643,14.158,10.724,0.132866,GALAXY,STARFORMING,1237650795147100328
48.07209,38.67274,140.8203,13.93759,18.71664,383.1564,61.66449,-15.98313,-5.794434,159.0769,13.096,12.758,9.029,0.1332475,GALAXY,STARFORMING,1237648720142991573
30.71905,25.78014,149.6109,14.73932,52.73117,136.4809,22.34612,-7.066473,-7.64593,128.8212,13.752,13.35,10.016,0.08339076,GALAXY,,1237651799622615229
38.69923,25.98217,27.02734,7.311999,43.8336,158.4125,42.71885,-26.8512,-4.494356,40.45216,15.101,14.881,11.538,0.0475889,GALAXY,STARFORMING,1237648721216995401
122.6081,96.46764,329.9208,34.14533,40.89649,649.7175,134.8891,-34.24926,-17.70321,100.4832,13.167,12.894,8.964,0.08368891,GALAXY,STARFORMING,1237648721216929817
105.8378,78.44872,126.7331,20.83839,366.8779,733.8729,209.273,-106.4031,-18.09472,91.89639,15.182,14.96,10.652,0.103538,GALAXY,STARBURST,1237654670271905831
51.64438,36.12083,106.8202,9.128121,23.34986,283.6448,70.57777,-30.15765,-11.01121,69.78541,14.642,14.261,10.575,0.106981,GALAXY,STARFORMING,1237648720679927908
55.1946,46.56064,199.7853,11.4854,24.06569,559.7024,129.3916,-13.66982,-4.922529,67.01678,12.211,12.086,8.293,0.04565335,GALAXY,STARFORMING,1237648721216798768
124.4592,90.49993,257.8566,25.39231,62.87858,661.7244,135.8446,-63.30981,-24.68404,80.32333,14.219,13.885,9.696,0.1110355,GALAXY,STARBURST,1237648721216929936
28.70416,21.9203,20.31067,8.183682,61.89884,142.7995,38.72056,-29.268,-3.897695,42.11617,15.321,15.03,12.203,0.03704123,GALAXY,STARFORMING,1237648721216667792
44.30239,34.51288,63.6263,7.932168,33.17283,166.6004,48.60486,-7.992346,-2.992931,53.97607,14.2,14.105,11.424,0.08011292,GALAXY,STARFORMING,1237650796220711070
61.72988,46.56725,115.9089,11.29842,28.85373,302.0594,66.28398,-24.24237,-8.965852,79.16861,14.307,14.137,10.465,0.06465202,GALAXY,STARFORMING,1237651800696291634
54.55386,41.51113,89.92256,12.13378,26.64145,150.9513,34.89052,-6.358188,-3.67139,97.6182,13.65,13.495,10.97,0.0792563,GALAXY,,1237651800696291624
32.17059,23.00072,85.56366,6.627734,12.52935,189.8785,37.90817,-15.96493,-7.61592,84.2002,14.223,13.901,10.324,0.06914463,GALAXY,STARFORMING,1237650796220711045
42.19727,26.87576,125.6245,8.257575,11.61989,242.1171,44.05736,-24.24088,-12.39624,75.52525,14.481,14.063,10.378,0.1333251,GALAXY,STARFORMING,1237650796220711149
35.57194,26.99824,56.78626,5.081095,13.65809,167.4065,45.88344,-24.20345,-7.661638,67.65108,15.007,14.868,10.877,0.08020487,GALAXY,STARFORMING,1237650796220711116
32.42798,22.97217,51.24837,5.500399,15.4572,151.5709,39.58074,-20.09934,-6.79716,45.09264,14.893,14.831,11.306,0.06287614,GALAXY,STARFORMING,1237650794610163857
38.6576,31.10056,116.3806,6.711371,11.09141,267.8967,56.27699,-25.42228,-11.38418,56.363,14.269,13.902,10.153,0.1277621,GALAXY,STARFORMING,1237650794610098369
