# metal tau age EBVgal Tdust fracPAH incl EBVbbb GA SB TO BB logMstar SFR_opt LIR(8-1000) Lbb(0.1-1) Lbbdered(0.1-1) Lga(01-1) AGNfrac(0.1-1) Ltor(1-30) LAGN(0.1-30) AGNfrac(8-1000) Lgal(0.4-0.5) Lbbb(0.4-0.5) AGNfrac(0.4-0.5) Ltor(6) Lsb(1-30) SFR_IR log_like logz
1.9143 7.2185 10.9460 0.7502 29.0137 0.0010 28.2063 0.0002 7.9792 6.4742 7.0963 4.5193 11.0492 0.7315 44.2572 44.8497 44.8506 43.2484 0.9756 44.6676 45.0792 0.6251 41.9921 43.6433 0.9782 44.2591 42.9970 7.0144 -346.6619 -387.1408
1.7344 12.4315 12.2073 0.7858 29.9085 0.0157 24.1838 0.0005 7.9753 6.4142 7.0269 4.5159 10.7965 7.4266 44.2092 44.8450 44.8621 43.0754 0.9833 44.6706 45.0779 0.6522 41.6624 43.6495 0.9898 44.2621 42.8850 6.2809 -346.1472 -382.1238
1.5961 2.0520 11.8496 0.7608 27.2491 0.0002 24.7450 0.0001 8.1950 6.5819 7.0657 4.5339 10.7614 6.8499 44.2310 44.8435 44.8465 43.1993 0.9778 44.6931 45.0857 0.6525 41.9562 43.6385 0.9796 44.2845 42.9708 6.6047 -346.7458 -382.6375
1.6876 5.2982 10.5061 0.7815 30.9100 0.0112 28.5687 0.0009 8.1009 6.3473 7.0942 4.5243 11.0595 2.6991 44.3044 44.8519 44.8527 43.2133 0.9775 44.6756 45.0837 0.5949 41.9264 43.6455 0.9813 44.2598 43.1322 7.8209 -346.5434 -381.8912
1.7233 0.8744 9.7423 0.6235 28.6020 0.0021 1.6157 0.0011 7.8458 6.4954 7.0150 4.5407 11.0944 0.8117 44.3563 44.8461 44.8494 43.2628 0.9746 44.6308 45.0631 0.5403 42.1528 43.6413 0.9686 44.2149 43.2971 8.8133 -359.4770 -384.0441
1.9661 8.6235 11.9173 0.7359 27.4379 0.0291 21.5580 0.0003 7.9621 6.5974 7.0449 4.5399 10.9367 6.2587 44.2820 44.8309 44.8484 43.0977 0.9819 44.6871 45.0761 0.6136 41.8367 43.6356 0.9844 44.2712 43.2908 7.4281 -347.1070 -381.8428
1.6960 5.5855 9.0795 0.7718 26.3279 0.0159 8.0662 0.0044 7.4196 6.6161 7.0050 4.4966 10.8279 7.6548 44.2470 44.8355 44.8393 43.3134 0.9708 44.6673 45.0705 0.6304 42.0840 43.6310 0.9724 44.2587 43.2807 6.8523 -348.8227 -382.3657
1.2882 4.7968 12.5250 0.7581 31.9503 0.0024 16.0826 0.0167 8.0084 6.3073 7.0571 4.5475 10.7698 6.3620 44.2213 44.8500 44.8586 43.0935 0.9828 44.6721 45.0814 0.6466 41.5838 43.6488 0.9915 44.2635 42.9932 6.4586 -349.2063 -381.8339
1.5070 0.5022 11.6500 0.5982 31.4300 0.0194 7.0642 0.0015 8.2247 6.2442 7.0437 4.5027 11.0243 0.6907 44.1936 44.8332 44.8433 43.2692 0.9734 44.6986 45.0820 0.6594 42.0258 43.6330 0.9759 44.2784 42.9714 6.0600 -345.4617 -384.4643
1.5825 12.3343 12.1205 0.7676 28.5110 0.0005 29.7141 0.0000 7.9570 6.4887 7.0848 4.5313 10.3901 14.5822 44.2321 44.8381 44.8438 43.2469 0.9750 44.6553 45.0675 0.6177 41.8501 43.6350 0.9839 44.2353 43.0153 6.6217 -352.7726 -384.1640
1.0031 1.7892 11.9996 0.7035 25.5282 0.0160 30.8331 0.0121 8.1089 6.6929 7.1078 4.5448 10.9808 2.2514 44.2258 44.8431 44.8693 43.2299 0.9762 44.6842 45.0823 0.6506 41.9317 43.6537 0.9814 44.2756 43.2090 6.5256 -348.4657 -382.5827
