#Table1
plate,mjd,fiberid,z,h_beta_flux,h_beta_flux_err,i,err_i,dered_i,r,err_r,dered_r
583,52055,527,0.1263514,538.2548,10.09748,16.20915,0.003975722,16.1658,16.67585,0.00410796,16.61751
584,52049,547,0.2981969,62.52968,3.851722,18.25887,0.0118695,18.21302,18.44034,0.009548884,18.37863
585,52027,214,0.2527613,391.4832,6.190865,17.82131,0.007383709,17.76667,18.00108,0.006817929,17.92755
585,52027,368,0.1058275,4298.79,28.43548,15.76164,0.003435147,15.71175,16.23728,0.003314882,16.17014
2101,53858,118,0.2842707,81.6624,3.849544,17.91851,0.008250359,17.90299,18.15815,0.007406839,18.13727
2607,54184,178,0.2763289,155.4419,3.410408,17.59754,0.008142054,17.56592,17.66461,0.006791173,17.62206
2606,54154,581,0.2645762,292.094,9.653852,16.93706,0.004928526,16.89854,16.96644,0.00433436,16.91461
2607,54184,477,0.2086255,695.1603,7.267591,16.9708,0.00520429,16.93681,17.25973,0.004867359,17.21399
1826,53499,495,0.2375394,34.24898,3.4089,17.00224,0.006230422,16.95411,17.52691,0.006780813,17.46215
1829,53494,249,0.1170313,1324.26,13.06183,15.95189,0.003902697,15.88442,16.57628,0.003972024,16.48547
1829,53494,464,0.2076814,1192.412,13.26812,16.53827,0.00466055,16.48162,16.92644,0.004593501,16.85021
298,51955,577,0.2455795,159.3883,4.686191,17.61255,0.007222151,17.57577,17.99067,0.00693543,17.94118
299,51671,133,0.2374521,1711.321,8.455066,17.20467,0.005923713,17.16354,17.62519,0.00590078,17.56984
299,51671,580,0.2550515,72.71386,2.812771,17.66232,0.007544953,17.60896,17.96336,0.007236211,17.89155
300,51943,206,0.2341849,114.511,4.473298,17.35823,0.007642408,17.30561,17.95876,0.008111713,17.88795
300,51943,272,0.2447907,993.4495,9.621815,17.39896,0.006084186,17.35583,17.55069,0.005589028,17.49266
301,51942,545,0.2585477,312.2499,5.156001,17.82025,0.007078633,17.75548,17.9499,0.006326117,17.86274
301,51942,142,0.1631027,779.7177,8.42666,16.57161,0.005071447,16.50398,17.00627,0.005251363,16.91526
301,51942,505,0.2567531,209.2478,5.172611,17.86333,0.007702051,17.80083,18.09906,0.007142682,18.01496
2953,54560,240,0.1133047,528.8362,12.33782,15.58565,0.003349138,15.49428,15.98212,0.003359003,15.85917
2006,53476,618,0.1863378,1308.8,16.27106,16.13487,0.004252693,16.10959,16.48114,0.003943135,16.44711
2009,53904,70,0.2588019,171.1441,5.061919,17.87667,0.008112215,17.85905,18.04518,0.007232194,18.02147
2009,53904,546,0.2466348,244.6292,5.517522,17.67734,0.00716232,17.6571,18.04572,0.007100735,18.01848
1372,53062,486,0.2288463,323.9026,6.688134,16.93293,0.004889193,16.90558,17.52539,0.005534256,17.48859
1372,53062,589,0.191827,240.5085,6.055345,17.39008,0.005900546,17.3561,17.71836,0.00588038,17.67264
1373,53063,434,0.213071,124.0855,5.598316,17.02846,0.005257594,16.99075,17.46236,0.005540486,17.41162
2033,53476,57,0.1894373,569.4219,11.4424,16.74497,0.005114604,16.72449,17.14705,0.004980121,17.1195
2033,53476,512,0.2848447,3167.782,28.13142,15.96575,0.003894692,15.94019,15.82749,0.003526445,15.79309
